subj,num,suf,format,term,code,inst,title,sec,enr
NEJS,188,A,LEC,Fall 2004,1043,"Levy, Avigdor",RISE/DECLINE:OTTOMAN EMP,1,32
CHEM,121,A,LEC,Fall 2004,1043,"Foxman, Bruce","INORGANIC CHEM I, LECS.",1,18
CHEM,130,A,LEC,Fall 2004,1043,"Yu, Jinquan",ADV ORG. CHEM: STRUCTURE,1,14
COMP,1,A,LEC,Fall 2004,1043,"Ruesch, Gordon",COMPOSITION,3,11
MUS,118,A,STD,Fall 2004,1043,"Ray, Mary",SENIOR RECITAL I,1,3
PE,32,A,NCA,Fall 2004,1043,"Dibble, Susan",MODERN DANCE,1,15
USEM,89,B,SEM,Fall 2004,1043,"Engerman, David",COLLEGE 101,1W,18
HS,529,A,LEC,Fall 2004,1043,"Capitman, John",SOC.POLICY/POPULTN GROUP,1,15
POL,14,B,LEC,Fall 2004,1043,"Teles, Steven",INTRO TO AMERICAN GOV'T.,1,81
SOC,107,A,LEC,Fall 2004,1043,"Williams, Dessima",APARTHEID/SOCIAL MOVEMNT,1,45
SOC,201,A,LEC,Fall 2004,1043,"Hayim, Gila",CLASSICAL/CRITICAL THEOR,1,5
PE,5,A,NCA,Fall 2004,1043,"Sullivan, Mary",FIRST AID AND CPR,2,11
PE,10,A,NCA,Fall 2004,1043,"Ewing, Anthony",BASKETBALL,1,29
THA,325,D,STD,Fall 2004,1043,"Eigsti, Karl",SET DESIGN III,1,4
JAPN,105,A,LEC,Fall 2004,1043,"Sekino, Hiroko",ADV.CONVERS/COMPOSTN I,1,4
USEM,6,A,SEM,Fall 2004,1043,"Kelikian, Alice",ANATOMY AND GENDER,1W,18
PHYS,113,A,LEC,Fall 2004,1043,"Canter, Karl",FIRST YEAR TUTORIAL I,1,10
YDSH,30,A,LEC,Fall 2004,1043,"Kellman, Ellen",INTERMEDIATE YIDDISH,1,10
AAAS,163,B,LEC,Fall 2004,1043,"Nyangoni, Wellington",AFRICA IN WORLD POLITICS,1,11
USEM,14,B,SEM,Fall 2004,1043,"DeRosier, David",HOW DO YOU KNOW WHAT YOU KNOW,1,18
NEJS,10,A,SEM,Fall 2004,1043,"Stackert, Jeffrey",BIBL. HBRW GRAMMAR/T,1,14
HBRW,19,A,SEM,Fall 2004,1043,"Shorr, Esther",BEGINNING HEBREW: HONORS,1,10
UWS,12,A,SEM,Fall 2004,1043,"Turner, John",UNIVERSITY WRITING SEM.,1,6
MUS,11,A,STD,Fall 2004,1043,"Olesen, James",CHAMBER CHOIR,2XC,2
ECON,82,B,LEC,Fall 2004,1043,"Bahceci, Serkan",MACROECONOMIC THEORY,1,43
ECON,83,A,LEC,Fall 2004,1043,"Bui, Linda",STATISTICS-ECON ANALYSIS,2,36
PSYC,1,A,LEC,Fall 2004,1043,"Morant, Ricardo",INTRO TO PSYCHOLOGY,1,117
ECON,62,A,LEC,Fall 2004,1043,"Bahceci, Serkan",INTRO TO GAME THEORY,1,24
PE,20,A,NCA,Fall 2004,1043,"Best-Jarvis, John",TENNIS-INTERMEDIATE,1,10
MATH,10,A,LEC,Fall 2004,1043,"Zhang, Yuqing",TECHNIQUES-CALCULUS (A),2,23
PE,16,A,NCA,Fall 2004,1043,"Shipman, William",GOLF,4,11
